step,nviols,p,nchanged,delta
0,9,0.10843373494,2,9.0
1,7,0.0843373493976,1,7.0
2,6,0.0722891566265,2,6.0
3,4,0.0481927710843,0,4.0
4,4,0.0481927710843,0,4.0
5,4,0.0481927710843,0,4.0
6,4,0.0481927710843,0,4.0
7,4,0.0481927710843,0,4.0
8,4,0.0481927710843,1,4.0
9,3,0.0361445783133,0,3.0
10,3,0.0361445783133,0,3.0
11,3,0.0361445783133,0,3.0
12,3,0.0361445783133,0,3.0
13,3,0.0361445783133,0,3.0
14,3,0.0361445783133,0,3.0
15,3,0.0361445783133,0,3.0
16,3,0.0361445783133,0,3.0
17,3,0.0361445783133,0,3.0
18,3,0.0361445783133,0,3.0
19,3,0.0361445783133,0,3.0
20,3,0.0361445783133,0,3.0
21,3,0.0361445783133,0,3.0
22,3,0.0361445783133,0,3.0
23,3,0.0361445783133,0,3.0
24,3,0.0361445783133,1,3.0
25,2,0.0240963855422,0,2.0
26,2,0.0240963855422,0,2.0
27,2,0.0240963855422,0,2.0
28,2,0.0240963855422,0,2.0
29,2,0.0240963855422,0,2.0
30,2,0.0240963855422,0,2.0
31,2,0.0240963855422,0,2.0
32,2,0.0240963855422,0,2.0
33,2,0.0240963855422,0,2.0
34,2,0.0240963855422,0,2.0
35,2,0.0240963855422,1,2.0
36,1,0.0120481927711,0,1.0
37,1,0.0120481927711,0,1.0
38,1,0.0120481927711,0,1.0
39,1,0.0120481927711,0,1.0
