Group,2004,2007,2009,2011,2012,2013,2014,2015,2016,2017
None Removed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Ahrar al-Sham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Ajnad al-Sham Islamic Union,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Al Qaeda,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Al-Fawj Al-Awl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0
Ansar al-Sham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Asa'ib Ahl al-Haq,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,9.0
Badr Organization,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,9.0
Faylaq al-Rahman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,7.0
Free Syrian Army,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0
Harakat Nour al-Din al-Zenki,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Harakat al-Nujaba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,9.0
Hezbollah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0
Islamic State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Jabhat Fatah al-Sham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0
Jaysh al-Islam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0
Jaysh al-Sanadeed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,9.0
Jaysh al-Sham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Jund al-Aqsa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,8.0
Kata'ib Hezbollah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,8.0
Kata'ib al-Imam Ali,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Kata’ib Sayyid al-Shuhada,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Kurdish Islamic Front,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Levantine Front,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Liwa al-Haqq,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,9.0
Liwa al-Islam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Liwa al-Tawhid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0
Peoples Protection Units,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0
Southern Front,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,8.0
Suqour al-Sham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0
